ñ¡ïøî‘çÜ,åªç›âøäi,åàéZì˙Ç‹Ç≈,å†óòóéÇøÇ‹Ç≈,ï™äÑì˙Ç‹Ç≈,éûâøëçäz,ó\ëzPER,PBR,ó\ëzEPS,BPS,îzìñê´å¸,ÉxÅ[É^íl,âﬂãéîzìñäz,âﬂãéîzìñóòâÒÇË,ïΩãœîzìñóòâÒÇË,åªç›îzìñäz,åªç›îzìñóòâÒÇË,52èTà¿íl,52èTçÇíl,êÑèß,ÉAÉiÉäÉXÉgà”å©êî,Open,High,Low,Close,Adj Close,Volume,MACD,Signal_Line,MACD_Signal_difference,DI+,DI-,DI+DI-_difference,Parabolic_SAR,Parabolic_SAR_difference,RSI_14,%K,Psychological_Line,RCI_26,MA_Deviation,MACD_Percentile,MACD_Current Deviation,MACD_Signal_difference_Percentile,MACD_Signal_difference_Current Deviation,DI+_Percentile,DI+_Current Deviation,DI-_Percentile,DI-_Current Deviation,DI+DI-_difference_Percentile,DI+DI-_difference_Current Deviation,Parabolic_SAR_Percentile,Parabolic_SAR_Current Deviation,Parabolic_SAR_difference_Percentile,Parabolic_SAR_difference_Current Deviation,RSI_14_Percentile,RSI_14_Current Deviation,%K_Percentile,%K_Current Deviation,Psychological_Line_Percentile,Psychological_Line_Current Deviation,RCI_26_Percentile,RCI_26_Current Deviation,MA_Deviation_Percentile,MA_Deviation_Current Deviation,MACD_Signal_Line_Last_Cross,MACD_Signal_Line_Last_Cross_Day,MACD_Signal_Line_Next_Cross_Day,DI+_DI-_Last_Cross,DI+_DI-_Last_Cross_Day,DI+_DI-_Next_Cross_Day
3861.T,556.2999877929688,62,115,,547761356800,7.286182,0.47068876,76.35,1181.885,0.45459998,,20.0,0.03615983,2.64,24.0,0.0434,511.0,680.5,buy,6,554.0,559.8,554.0,556.3,556.3,2660000,-14.222,-11.894,-2.328,13.919,33.108,-19.189,574.96,-18.66,35.391,30.575,41.667,-81.88,-5.453,23.596,-0.747,34.912,-0.34,2.435,-1.72,45.13,-0.182,23.133,-0.794,57.43,0.28,46.104,-0.255,18.573,-0.938,35.036,-0.581,21.296,-0.463,13.104,-1.237,30.196,-0.445,Dead,165,9.215686274509807,Dead,125,0.5714285714285694
3863.T,870.0,66,115,,100415397888,7.213332,0.21005416,120.61,4141.789,0.0584,0.176,10.0,0.011614402,2.94,20.0,0.0232,820.0,1430.0,hold,6,864.0,874.0,853.0,870.0,870.0,1533200,-50.404,-51.184,0.779,30.495,33.663,-3.168,982.783,-112.783,45.025,24.204,50.0,-65.47,-6.736,18.342,-0.857,54.321,0.068,46.293,-0.201,41.591,-0.269,50.633,0.033,7.951,-1.534,34.806,-0.525,43.682,-0.166,34.477,-0.673,42.626,0.06,33.764,-0.856,29.834,-0.579,Golden,0,176.25,Dead,35,81.85714285714286
3900.T,1576.0,66,-67,,24827359232,20.440987,3.450231,77.1,456.781,,0.506,18.0,0.01171875,,36.0,0.0234,861.0,1890.0,none,1,1537.0,1580.0,1537.0,1576.0,1576.0,230100,73.337,35.962,37.375,50.749,18.981,31.768,1297.163,278.837,71.029,84.655,41.667,87.145,21.508,79.63,0.82,87.654,1.138,91.102,1.271,10.805,-1.164,91.949,1.262,53.814,0.053,80.0,0.918,91.121,1.366,80.55,1.189,22.105,-0.479,95.228,1.501,89.177,1.119,Golden,115,92.05882352941177,Golden,100,-2.058823529411768
3937.T,1274.0,65,115,-2624,15434892288,12.309178,3.0031233,103.5,424.225,0.2327,0.805,13.0,0.010148321,0.55,50.0,0.039,995.0,1729.0,strong_buy,,1304.0,1304.0,1265.0,1274.0,1274.0,103800,-3.32,1.598,-4.918,33.574,26.982,6.591,1429.756,-155.756,49.673,18.502,25.0,30.256,-4.129,54.94,-0.075,43.855,-0.124,47.132,-0.134,21.197,-0.743,62.344,0.301,43.72,-0.421,48.792,-0.284,51.741,0.063,27.114,-0.861,0.743,-1.935,63.333,0.576,43.734,-0.177,Dead,20,148.61111111111111,Golden,10,73.85714285714286
3941.T,889.2999877929688,63,115,,220381888512,5.6517315,0.4767976,157.35,1865.152,0.2219,,30.0,0.033879165,2.68,30.0,0.0339,843.0,1208.5,buy,6,885.5,895.5,883.6,889.3,889.3,530000,-36.298,-28.755,-7.544,19.727,49.343,-29.616,992.027,-102.727,34.046,16.045,41.667,-79.624,-8.61,3.987,-1.786,14.701,-0.942,8.655,-1.346,89.748,1.258,8.908,-1.38,93.101,1.631,8.978,-1.206,13.602,-1.142,22.334,-1.066,19.698,-0.622,9.33,-1.436,16.271,-0.853,Dead,47,130.14285714285714,Dead,172,-38.111111111111114
3978.T,1200.0,71,24,-4178,45365161984,12.5878525,1.1135,95.33,1077.683,0.404,0.767,27.0,0.022575252,2.03,30.0,0.0251,651.0,1242.0,none,1,1187.0,1203.0,1187.0,1200.0,1200.0,260300,72.978,28.353,44.626,71.348,11.915,59.433,682.344,517.656,83.527,98.081,58.333,-9.88,28.397,91.296,0.833,98.066,2.038,96.861,2.204,6.166,-1.537,96.637,2.016,34.947,-0.358,98.064,2.421,95.745,1.783,94.955,1.452,70.968,0.808,40.436,-0.328,97.426,1.786,Golden,15,201.71428571428572,Golden,15,135.81632653061226
4028.T,1468.0,71,115,-2988,56121638912,5.981339,0.5278642,245.43,2781.018,0.5382,0.551,70.0,0.048010975,2.79,140.0,0.096,1137.0,1870.0,buy,3,1468.0,1480.0,1454.0,1468.0,1468.0,138000,-29.184,-28.329,-0.855,37.703,36.427,1.276,1354.122,113.878,49.612,49.309,41.667,-59.111,-2.381,34.219,-0.319,45.93,-0.026,52.941,0.026,52.941,0.064,50.168,-0.019,58.022,-0.047,64.672,0.499,50.462,-0.052,51.553,0.028,19.363,-0.539,24.258,-0.955,46.271,0.029,Dead,197,-11.565217391304344,Golden,7,112.71428571428571
4045.T,1523.0,70,24,-3448,171704549376,12.906779,0.8196871,118.0,1858.026,0.4989,0.482,63.0,0.04117647,3.05,60.0,0.0392,1277.0,1711.5,none,1,1530.0,1540.0,1523.0,1523.0,1523.0,309700,4.005,15.634,-11.63,28.79,40.022,-11.232,1471.785,51.215,39.736,8.228,50.0,35.385,-1.824,43.258,-0.092,11.798,-1.112,25.406,-0.68,72.321,0.57,25.162,-0.651,96.948,1.772,55.422,0.33,21.168,-0.872,9.246,-1.548,32.146,-0.159,50.614,0.268,33.306,-0.195,Dead,25,134.91071428571428,Dead,5,110.12987012987013
4088.T,1880.5,66,115,,429976322048,8.669894,0.87386346,216.9,2151.938,0.3192,0.325,34.0,0.018269747,2.98,64.0,0.0344,1737.5,2433.5,none,6,1875.0,1896.0,1872.0,1880.5,1880.5,589200,-67.059,-55.112,-11.947,25.399,41.822,-16.423,2057.631,-177.131,37.157,17.262,41.667,-83.863,-7.119,4.983,-1.667,18.023,-0.752,16.639,-0.994,73.866,0.637,20.0,-0.853,89.443,1.322,12.718,-1.177,14.694,-1.011,18.136,-1.188,15.842,-0.75,4.919,-1.552,16.356,-0.837,Dead,202,0.9761904761904816,Dead,172,-53.07142857142857
4095.T,1290.0,64,115,-3539,152043274240,,0.7829347,,1647.647,0.3946,0.239,20.0,0.015637217,3.18,50.0,0.039100002,980.0,1349.0,none,,1279.0,1297.0,1279.0,1290.0,1290.0,211400,18.428,18.115,0.313,46.564,26.46,20.103,1153.72,136.28,60.05,62.893,50.0,31.487,2.443,63.206,0.329,49.419,0.024,77.563,0.686,33.529,-0.478,72.773,0.609,73.982,0.699,85.619,1.098,62.804,0.38,51.721,0.21,40.235,0.038,50.042,0.2,49.492,0.122,Golden,62,117.79166666666666,Golden,112,-1.6710526315789451
4113.T,1060.0,57,115,-1161,15188421632,9.489705,0.8559293,111.7,1238.42,0.2581,0.501,9.0,0.008498584,2.4,24.0,0.0227,686.0,1119.0,none,1,1065.0,1080.0,1030.0,1060.0,1060.0,67200,46.721,36.919,9.803,40.819,18.142,22.677,842.728,217.272,61.095,91.903,50.0,80.718,17.645,90.476,0.666,90.148,0.586,54.9,0.084,13.372,-1.174,73.339,0.692,83.73,0.485,95.481,1.254,68.465,0.527,84.398,1.248,47.97,0.206,84.577,1.136,92.881,1.224,Golden,30,163.91304347826087,Golden,140,-23.108108108108112
4114.T,1831.0,63,115,-250,278244261888,18.762169,0.729247,97.59,2510.809,0.9015,0.448,76.5,0.04194079,2.93,108.0,0.0592,1298.25,1943.0,none,4,1830.0,1848.5,1830.0,1831.0,1831.0,401300,71.365,65.342,6.023,50.227,24.471,25.755,1694.967,136.033,64.139,68.222,41.667,84.957,7.137,93.106,1.321,64.12,0.369,86.723,1.128,25.63,-0.736,82.689,0.971,79.385,0.867,76.891,0.773,75.063,0.738,58.69,0.435,15.256,-0.686,88.804,1.232,77.966,0.691,Golden,22,166.47826086956522,Golden,287,-191.18604651162792
4188.T,801.4000244140625,63,115,-7004,1140504395776,8.789208,0.65589553,91.18,1221.841,0.4977,0.44,32.0,0.040342916,3.8,32.0,0.0403,735.0,974.1,buy,10,798.4,806.8,798.3,801.4,801.4,5769000,-16.879,-8.097,-8.782,27.949,41.825,-13.876,941.228,-139.828,40.065,9.836,58.333,-33.88,-7.759,28.973,-0.563,15.169,-0.946,26.38,-0.666,68.588,0.535,28.49,-0.624,89.237,1.315,6.586,-1.523,27.332,-0.641,15.896,-1.208,59.352,0.535,36.036,-0.557,25.859,-0.533,Dead,40,147.60416666666666,Dead,5,107.375
4202.T,1407.5,63,115,,388638900224,6.4510956,1.0311476,218.18,1364.984,0.2624,0.456,55.0,0.040087465,3.72,60.0,0.0437,1064.0,1640.0,none,9,1385.5,1423.0,1385.0,1407.5,1407.5,1838600,-15.845,-26.463,10.618,42.296,27.115,15.181,1217.516,189.984,62.212,90.909,58.333,-41.128,1.977,21.927,-0.603,86.462,0.982,65.042,0.394,32.269,-0.475,67.227,0.461,80.05,1.029,96.259,1.496,72.04,0.575,82.872,1.136,62.699,0.603,26.378,-0.875,52.458,0.147,Golden,27,130.45454545454547,Golden,22,86.76623376623377
4205.T,1408.0,57,115,,292633083904,11.753902,0.78839624,119.79,1785.904,0.3832,0.513,60.0,0.042689435,2.3,70.0,0.0498,1060.0,1660.0,none,9,1408.0,1418.5,1392.5,1408.0,1408.0,1171500,24.701,10.134,14.567,53.526,19.896,33.63,1227.329,180.671,72.935,75.24,58.333,40.718,4.631,68.439,0.368,84.468,0.946,88.151,1.23,15.21,-1.065,86.05,1.182,69.244,0.635,90.856,1.261,86.902,1.229,66.247,0.673,59.43,0.566,59.033,0.488,62.288,0.344,Golden,67,116.19148936170214,Golden,32,86.05555555555556
4220.T,1088.0,57,115,,57208127488,9.653949,0.9000341,112.7,1208.843,0.2775,0.497,32.0,0.029822927,3.33,37.0,0.0345,773.0,1131.0,none,,1073.0,1094.0,1073.0,1088.0,1088.0,82100,31.992,29.654,2.338,33.015,25.573,7.443,1007.518,80.482,62.315,87.879,58.333,70.393,5.688,91.445,1.431,66.113,0.421,40.504,-0.317,30.672,-0.594,54.79,0.162,99.252,3.444,92.269,1.369,70.613,0.616,82.2,1.1,65.801,0.702,71.162,0.961,67.458,0.503,Golden,62,114.53061224489795,Golden,77,57.76190476190476
4246.T,611.0,70,115,-3263,43467640832,6.3414636,0.50760746,96.35,1203.686,0.3738,0.874,15.0,0.024590164,4.72,34.0,0.0557,551.0,800.0,none,1,611.0,615.0,609.0,611.0,611.0,133500,-23.127,-22.388,-0.74,15.873,51.984,-36.111,699.0,-88.0,27.083,2.381,33.333,-76.479,-7.758,31.509,-0.368,47.17,-0.028,2.713,-1.614,90.31,1.228,5.814,-1.453,32.703,-0.633,28.355,-0.49,6.963,-1.457,6.77,-1.429,8.671,-1.155,18.218,-1.149,29.249,-0.388,Dead,123,87.55555555555554,Dead,228,-86.04347826086956
4272.T,1276.0,62,115,,208726818816,12.639921,0.79616886,100.95,1602.675,1.8541,0.544,22.5,0.017598748,3.25,45.0,0.0352,1173.0,1420.0,strong_buy,,1278.0,1284.5,1273.0,1276.0,1276.0,618700,-7.409,-9.49,2.082,28.996,28.176,0.82,1285.959,-9.959,48.45,80.488,50.0,8.444,2.1,33.226,-0.327,58.186,0.181,29.221,-0.585,33.604,-0.379,48.133,-0.111,81.365,0.959,44.819,-0.174,41.444,-0.27,69.586,0.805,36.923,-0.073,47.912,-0.006,57.038,0.194,Golden,0,162.32142857142858,Golden,0,106.13095238095238
4275.T,1312.0,59,115,,30922659840,9.661266,0.8257285,135.8,1588.9,0.32759997,0.393,33.0,0.025018955,2.34,69.0,0.0523,885.0,1579.0,none,1,1319.0,1330.0,1311.0,1312.0,1312.0,97900,32.346,28.389,3.957,44.219,16.937,27.282,1059.763,252.237,64.789,89.109,58.333,-26.564,2.893,86.047,0.818,70.1,0.328,73.025,0.643,13.193,-1.262,79.664,1.001,93.267,1.623,98.504,2.313,77.414,0.823,84.047,1.232,69.489,0.787,43.427,-0.398,66.441,0.291,Golden,7,200.61904761904762,Golden,22,100.5
4290.T,687.0,55,115,-1894,87615168512,14.381411,1.9310282,47.77,355.769,0.4062,0.345,18.0,0.026745914,1.33,24.0,0.0357,564.0,785.0,none,4,683.0,695.0,679.0,687.0,687.0,337700,0.072,7.29,-7.218,9.552,35.522,-25.97,721.297,-34.297,37.5,33.696,33.333,2.496,-1.246,39.326,-0.299,7.491,-1.261,0.0,-2.483,56.798,0.229,5.845,-1.442,80.5,1.011,21.875,-0.586,14.721,-1.094,26.396,-0.739,2.532,-1.637,35.825,-0.309,34.106,-0.398,Dead,53,105.37837837837839,Dead,63,41.44444444444444
4404.T,1631.0,70,24,-2715,16593794048,,0.54838496,,2974.188,0.1311,0.154,50.0,0.03125,3.36,60.0,0.0375,1172.0,1664.0,none,,1590.0,1640.0,1587.0,1631.0,1631.0,169800,29.81,39.012,-9.202,43.616,33.785,9.831,1392.0,239.0,55.923,93.725,50.0,32.581,7.541,82.143,0.605,24.834,-0.475,75.546,0.651,47.899,-0.07,64.706,0.369,49.792,-0.35,90.607,1.102,66.499,0.399,91.856,1.505,44.845,0.183,65.14,0.582,88.814,0.972,Dead,42,146.80434782608697,Golden,0,111.1948051948052
4548.T,808.0,65,115,-7190,44098781184,16.323233,0.5856966,49.5,1379.554,0.7582,0.204,13.0,0.016229713,2.63,30.0,0.0375,726.0,914.0,none,,805.0,813.0,805.0,808.0,808.0,69600,2.114,9.192,-7.078,20.53,39.073,-18.543,740.868,67.132,33.333,15.068,50.0,-39.487,-4.604,57.602,0.008,23.294,-0.445,9.486,-1.285,62.846,0.334,20.455,-0.855,4.39,-1.22,60.976,0.339,14.906,-1.082,19.151,-1.087,39.606,0.066,33.167,-0.672,28.743,-0.441,Dead,120,20.19230769230768,Dead,5,92.63157894736842
4552.T,727.0,52,115,-1525,91236319232,19.852541,1.6090194,36.62,451.828,0.612,0.027,20.0,0.027063599,1.22,20.0,0.0271,466.0,1274.0,buy,7,740.0,753.0,724.0,727.0,727.0,660100,-14.075,-39.156,25.08,53.725,15.124,38.6,670.104,56.896,76.289,76.159,58.333,86.051,12.616,20.807,-0.242,91.932,1.184,83.86,0.971,5.756,-1.222,89.391,1.15,56.748,-0.275,69.394,0.235,91.95,1.33,69.005,0.77,69.066,0.725,86.15,1.242,79.412,0.789,Golden,145,35.0,Golden,80,61.47727272727272
4569.T,1486.0,63,115,-8470,85369061376,14.152381,0.6565544,105.0,2263.331,0.637,-0.099,32.0,0.02173913,3.35,64.0,0.0435,1459.0,1880.0,none,1,1480.0,1498.0,1468.0,1486.0,1486.0,188900,-62.882,-60.49,-2.391,11.75,48.5,-36.75,1534.089,-48.089,21.654,11.176,25.0,-90.632,-7.236,12.044,-0.798,43.172,-0.092,2.318,-1.758,82.06,0.97,7.21,-1.462,29.287,-0.674,49.745,-0.092,3.774,-1.764,19.297,-1.118,0.599,-1.916,3.813,-1.448,21.732,-0.566,Dead,200,-10.555555555555543,Dead,200,-79.71014492753623
4633.T,1591.0,71,24,,78922350592,5.8708487,0.7585329,271.0,2097.47,0.2448,,45.0,0.029450262,2.77,60.0,0.039300002,1281.0,1917.0,none,2,1548.0,1612.0,1538.0,1591.0,1591.0,267000,-16.865,-6.806,-10.059,35.106,36.277,-1.17,1454.049,136.951,47.47,47.685,50.0,-74.359,-2.675,18.189,-0.618,12.375,-0.835,45.966,-0.158,60.0,0.169,43.613,-0.174,92.02,1.446,85.287,1.013,39.043,-0.304,42.905,-0.198,32.858,-0.144,13.401,-1.347,35.424,-0.287,Dead,137,34.80000000000001,Dead,12,122.44444444444446
4676.T,1738.0,63,115,-4086,363662606336,10.545477,0.4238399,164.81,4100.605,0.2676,0.444,49.0,0.028282829,3.2,50.0,0.028900001,1433.5,2059.0,none,6,1695.0,1748.0,1695.0,1738.0,1738.0,614100,-19.888,-16.092,-3.795,34.518,36.774,-2.256,1798.663,-60.663,48.901,71.042,58.333,-53.709,-0.929,42.833,-0.079,43.851,-0.131,49.7,-0.085,49.785,0.032,50.3,-0.06,59.932,-0.1,50.255,-0.065,51.801,-0.04,72.298,0.771,67.637,0.758,34.749,-0.74,52.035,0.084,Dead,205,-27.5,Dead,0,126.54411764705883
4722.T,1913.0,63,24,-1070,169544597504,14.262282,3.168997,134.13,603.661,0.35930002,0.385,41.0,0.021601686,2.09,42.0,0.0221,1440.0,2142.0,strong_buy,3,1895.0,1931.0,1871.0,1913.0,1913.0,463600,82.624,64.124,18.5,50.843,28.499,22.344,1827.077,85.923,64.795,49.336,50.0,92.821,9.612,97.857,2.241,94.464,1.539,80.108,0.894,33.002,-0.482,76.04,0.725,97.14,2.55,82.306,0.584,78.229,0.783,47.787,-0.039,40.577,0.076,98.539,1.423,79.653,0.695,Golden,130,37.12765957446808,Golden,110,31.818181818181813
4732.T,1389.0,63,115,-250,667470069760,17.76215,3.2646098,78.2,425.472,0.5653,0.575,20.35,0.0146087585,2.94,41.6,0.0299,1154.5,1497.0,none,5,1388.5,1399.0,1382.0,1389.0,1389.0,2026500,9.296,5.683,3.613,44.986,24.571,20.416,1248.73,140.27,61.957,93.464,66.667,26.496,4.423,60.305,0.1,73.367,0.48,73.734,0.622,31.845,-0.559,73.219,0.624,94.482,1.594,96.095,1.737,65.952,0.43,84.477,1.103,76.712,0.954,46.187,0.099,61.645,0.324,Golden,0,193.22222222222223,Golden,10,125.16129032258064
4751.T,1052.0,57,300,-1344,532672839680,20.526829,3.2879417,51.25,319.957,0.5427,0.471,16.0,0.015541525,1.03,33.0,0.0321,797.0,1136.0,buy,15,1031.0,1061.0,1026.0,1052.0,1052.0,5804300,11.288,11.472,-0.184,41.96,30.851,11.109,947.723,104.277,60.749,87.624,58.333,67.453,5.109,64.292,0.116,42.324,-0.017,63.348,0.282,40.343,-0.26,63.433,0.283,75.552,0.671,84.975,0.846,68.611,0.507,78.302,1.1,57.192,0.489,71.49,0.91,60.087,0.232,Dead,15,187.5581395348837,Golden,10,105.27027027027027
4765.T,682.0,56,-67,-4178,61157330944,,3.9120758,,174.332,1.1964,0.278,21.5,0.03199405,3.41,21.75,0.0324,530.0,800.0,none,,690.0,710.0,675.0,682.0,682.0,890300,-2.703,-10.175,7.472,52.0,23.667,28.333,538.462,143.538,67.157,80.69,41.667,-41.402,8.469,28.736,-0.276,91.689,0.908,83.527,0.92,23.993,-0.702,81.379,0.859,90.708,1.321,97.257,1.729,80.769,0.88,76.834,0.962,22.054,-0.491,28.843,-0.788,73.984,0.361,Golden,20,215.88235294117646,Golden,15,107.92307692307692
4847.T,1099.0,64,24,-3995,28773687296,15.767576,3.2968352,69.7,333.35,0.54080003,0.641,30.0,0.027322404,2.26,35.0,0.0319,820.0,1304.0,none,,1098.0,1104.0,1086.0,1099.0,1099.0,42000,0.425,-25.81,26.235,49.267,20.33,28.938,883.555,215.445,68.329,90.909,50.0,-37.709,9.922,53.175,-0.092,96.105,1.423,79.949,0.843,16.795,-1.028,82.177,0.969,81.61,0.749,93.475,1.289,83.305,1.036,86.387,1.345,44.53,0.144,40.657,-0.534,74.244,0.558,Golden,22,181.0952380952381,Golden,22,111.73015873015873
4848.T,1465.0,66,24,-4178,51587776512,9.581427,1.8788602,152.9,779.728,0.4091,0.956,63.0,0.043091655,2.62,62.0,0.0424,1136.0,1910.0,strong_buy,,1467.0,1479.0,1460.0,1465.0,1465.0,51300,-17.746,-12.008,-5.738,33.333,38.235,-4.902,1417.215,47.785,46.154,20.8,33.333,6.325,-2.572,31.268,-0.13,31.455,-0.145,37.774,-0.316,62.892,0.215,38.535,-0.276,50.564,-0.061,62.218,0.193,38.973,-0.26,30.133,-0.837,10.911,-0.975,49.519,0.021,43.228,0.109,Dead,12,168.11627906976744,Dead,7,125.85714285714286
4917.T,1294.0,59,115,-2624,58407796736,46.664265,0.8283716,27.73,1562.101,0.6975,0.25,20.0,0.0155521,2.66,40.0,0.0311,1107.0,1389.0,none,5,1296.0,1306.0,1285.0,1294.0,1294.0,205800,0.445,-8.98,9.425,37.149,23.758,13.391,1207.189,86.811,65.179,88.571,50.0,52.821,4.779,48.203,-0.023,73.707,0.459,55.546,0.06,22.538,-0.791,70.453,0.449,24.298,-0.698,65.965,0.41,78.723,0.838,81.028,1.151,27.788,-0.196,70.609,0.818,74.038,0.543,Golden,95,83.04347826086956,Golden,10,118.57142857142858
4927.T,1390.0,71,24,-2806,307558350848,25.995886,1.8926114,53.47,734.435,1.5715,0.381,52.0,0.037626628,3.29,52.0,0.0376,1271.0,1627.0,underperform,9,1390.0,1403.5,1386.0,1390.0,1390.0,497800,-8.721,-0.3,-8.421,32.7,43.072,-10.372,1524.799,-134.799,41.253,17.62,50.0,54.667,-2.614,31.187,-0.155,24.75,-0.272,32.847,-0.438,75.474,0.723,27.153,-0.599,38.395,-0.327,23.926,-0.533,25.073,-0.713,20.262,-1.158,28.052,-0.2,48.961,0.492,29.778,-0.313,Dead,12,147.0625,Dead,12,156.79310344827587
4956.T,1374.0,56,115,-341,92391186432,11.738573,1.0955487,117.05,1254.166,0.3291,0.421,19.5,0.014369934,2.24,33.0,0.024300002,931.0,1658.0,none,,1357.0,1405.0,1357.0,1374.0,1374.0,185600,22.158,5.859,16.299,37.856,12.898,24.958,1235.306,138.694,71.809,83.77,50.0,69.709,8.486,86.296,0.821,99.252,2.576,57.563,0.203,5.882,-1.659,85.042,1.015,97.34,2.325,96.259,1.927,90.596,1.314,76.574,0.943,34.954,-0.081,75.064,0.943,85.085,0.966,Golden,82,64.27118644067798,Golden,57,39.7816091954023
4974.T,1040.0,71,115,-4998,125232644096,29.312288,1.0812744,35.48,961.828,2.2487,0.242,17.0,0.016441006,1.54,34.0,0.032899998,930.0,1290.0,buy,3,1032.0,1048.0,1029.0,1040.0,1040.0,260300,-10.795,-17.765,6.971,31.339,30.394,0.945,942.056,97.944,49.507,39.873,33.333,0.923,-0.731,49.344,-0.139,70.535,0.214,40.532,-0.306,32.651,-0.495,55.885,0.093,30.909,-0.637,74.545,0.426,57.464,0.121,52.556,-0.07,6.735,-1.085,61.905,0.282,58.738,0.1,Golden,220,-35.65789473684211,Golden,10,101.40625
4992.T,1356.0,38,-5,,36409954304,8.956408,0.7426463,151.4,1825.903,0.1972,0.291,24.0,0.018306635,2.16,32.0,0.024400001,913.0,1720.0,none,1,1314.0,1365.0,1314.0,1356.0,1356.0,81400,-17.224,-13.122,-4.102,22.18,33.835,-11.654,1435.493,-79.493,43.129,59.729,58.333,-82.017,-2.324,13.704,-0.798,21.844,-0.428,11.429,-1.157,44.79,-0.102,33.109,-0.54,97.589,3.026,13.633,-0.822,33.165,-0.517,57.683,0.282,65.633,0.654,7.718,-1.379,41.525,-0.227,Dead,162,32.65909090909091,Dead,117,14.71875
4996.T,803.0,10,-34,,96661127168,7.91679,0.66521746,101.43,1207.124,0.272,,37.0,0.046894804,2.43,40.0,0.0507,637.0,1048.0,none,3,793.0,809.0,792.0,803.0,803.0,386100,-2.08,-4.546,2.466,37.458,28.428,9.03,783.451,19.549,55.714,32.099,25.0,54.735,0.682,38.455,-0.201,64.95,0.227,45.714,-0.053,35.882,-0.42,55.798,0.198,71.322,0.749,60.515,0.214,59.614,0.216,34.929,-0.574,1.509,-1.932,67.26,0.77,49.237,0.041,Golden,237,-47.68181818181819,Golden,32,89.21428571428571
4997.T,686.0,65,115,,53843730432,18.641304,0.70154846,36.8,977.837,0.317,0.337,9.0,0.013333334,2.49,20.0,0.0296,576.0,834.0,none,,675.0,691.0,675.0,686.0,686.0,63500,-3.385,-14.279,10.893,33.983,27.298,6.685,606.154,79.846,60.324,80.62,58.333,-47.692,2.542,40.116,-0.15,87.542,0.895,42.857,-0.257,33.361,-0.491,55.126,0.134,63.508,0.161,80.881,0.702,67.506,0.506,73.636,0.914,68.231,0.722,32.74,-0.751,56.271,0.211,Golden,27,157.5744680851064,Golden,22,122.22413793103448
5019.T,999.5,70,115,-341,1325746749440,7.595562,0.7127139,131.59,1402.386,0.2847,0.422,34.0,0.033847686,4.34,36.0,0.0358,751.0,1149.5,buy,7,999.5,1004.5,996.0,999.5,999.5,4193300,9.84,19.396,-9.556,28.523,41.263,-12.74,954.507,44.993,35.979,14.119,41.667,-30.051,-2.572,63.187,0.205,11.336,-0.947,31.357,-0.599,67.161,0.449,31.015,-0.545,96.517,2.219,69.213,0.463,20.387,-0.867,20.273,-1.076,16.25,-0.726,37.529,-0.528,39.216,-0.132,Dead,200,18.275862068965523,Dead,5,135.44444444444446
5020.T,822.7999877929688,73,115,,2296722751488,8.27184,0.74512047,99.47,1104.251,0.38729998,0.426,24.0,0.029279005,4.51,26.0,0.0317,548.0,865.9,buy,7,816.9,827.2,816.0,822.8,822.8,12105000,15.392,16.197,-0.806,40.836,32.673,8.163,717.936,104.864,57.111,74.883,58.333,-27.043,4.925,72.674,0.556,43.023,-0.103,64.874,0.337,43.95,-0.125,60.42,0.238,80.798,0.832,93.184,1.352,63.308,0.35,68.094,0.71,58.34,0.517,37.913,-0.51,70.0,0.485,Dead,132,67.88372093023256,Golden,22,91.85135135135135
5076.T,1215.5,71,115,,301253165056,12.929475,0.60986745,94.01,1993.056,0.6926,-0.007,65.0,0.05383023,,60.0,0.0497,1105.0,1654.0,buy,6,1217.0,1222.5,1206.0,1215.5,1215.5,1332000,-44.599,-55.037,10.437,32.099,32.963,-0.864,1126.812,88.688,52.318,85.586,50.0,-77.983,-0.88,14.103,-1.233,85.256,0.916,38.028,-0.263,45.07,-0.081,47.183,-0.104,54.194,-0.302,72.258,0.725,50.35,0.02,74.825,1.036,31.724,-0.225,16.794,-1.265,43.182,-0.162,Golden,15,202.0,Dead,0,120.0
5110.T,1666.0,71,24,,438204661760,8.932018,0.7073586,186.52,2355.241,1.5521001,0.368,82.0,0.049908705,3.75,58.0,0.0353,1253.0,1967.0,none,10,1643.0,1666.5,1643.0,1666.0,1666.0,1219400,15.356,-11.704,27.061,45.687,28.594,17.093,1497.88,168.12,64.049,59.812,50.0,21.915,5.882,60.714,0.159,93.771,1.511,73.782,0.624,31.765,-0.503,72.101,0.583,73.234,0.666,83.874,0.997,77.498,0.727,53.736,0.208,38.055,-0.06,53.52,0.245,68.983,0.498,Golden,67,124.88888888888889,Golden,22,95.91666666666667
5121.T,1491.0,66,115,,28559509504,,0.8506792,,1752.717,0.3673,0.593,25.0,0.016983695,3.24,64.0,0.0435,1028.0,1582.0,none,,1520.0,1525.0,1461.0,1491.0,1491.0,182000,20.123,-16.908,37.031,56.118,20.253,35.865,1128.042,362.958,74.46,87.533,41.667,-22.051,12.912,72.265,0.331,99.152,3.002,86.18,1.122,18.026,-0.971,84.807,1.078,93.294,1.744,99.491,3.535,87.393,1.244,80.103,1.168,22.517,-0.545,44.454,-0.349,81.039,0.839,Golden,15,207.43589743589743,Golden,15,106.76470588235294
