ñ¡ïøî‘çÜ,åªç›âøäi,åàéZì˙Ç‹Ç≈,å†óòóéÇøÇ‹Ç≈,ï™äÑì˙Ç‹Ç≈,éûâøëçäz,ó\ëzPER,PBR,ó\ëzEPS,BPS,îzìñê´å¸,ÉxÅ[É^íl,âﬂãéîzìñäz,âﬂãéîzìñóòâÒÇË,ïΩãœîzìñóòâÒÇË,åªç›îzìñäz,åªç›îzìñóòâÒÇË,52èTà¿íl,52èTçÇíl,êÑèß,ÉAÉiÉäÉXÉgà”å©êî,Open,High,Low,Close,Adj Close,Volume,MACD,Signal_Line,MACD_Signal_difference,DI+,DI-,DI+DI-_difference,Parabolic_SAR,Parabolic_SAR_difference,RSI_14,%K,Psychological_Line,RCI_26,MA_Deviation,MACD_Percentile,MACD_Current Deviation,MACD_Signal_difference_Percentile,MACD_Signal_difference_Current Deviation,DI+_Percentile,DI+_Current Deviation,DI-_Percentile,DI-_Current Deviation,DI+DI-_difference_Percentile,DI+DI-_difference_Current Deviation,Parabolic_SAR_Percentile,Parabolic_SAR_Current Deviation,Parabolic_SAR_difference_Percentile,Parabolic_SAR_difference_Current Deviation,RSI_14_Percentile,RSI_14_Current Deviation,%K_Percentile,%K_Current Deviation,Psychological_Line_Percentile,Psychological_Line_Current Deviation,RCI_26_Percentile,RCI_26_Current Deviation,MA_Deviation_Percentile,MA_Deviation_Current Deviation,MACD_Signal_Line_Last_Cross,MACD_Signal_Line_Last_Cross_Day,MACD_Signal_Line_Next_Cross_Day,DI+_DI-_Last_Cross,DI+_DI-_Last_Cross_Day,DI+_DI-_Next_Cross_Day
2175.T,1697.5,59,-250,-2351,144223666176,15.790698,3.1681538,107.5,535.801,0.2567,1.204,20.0,0.011918951,0.51,40.0,0.0238,1541.0,2924.0,none,6,1658.0,1708.5,1651.0,1697.5,1697.5,943100,-132.77,-86.965,-45.805,22.914,45.27,-22.356,2159.874,-462.374,33.015,17.259,58.333,11.932,-20.006,5.185,-1.667,5.556,-1.304,9.925,-1.327,82.789,1.037,12.312,-1.24,66.873,0.545,7.417,-1.487,12.045,-1.269,21.706,-1.085,51.189,0.459,43.949,-0.02,9.796,-1.267,Dead,15,163.97058823529412,Dead,30,94.7872340425532
2329.T,579.0,66,24,-159,78126784512,,0.9812694,,590.052,1.2085,0.29,26.0,0.045138888,2.94,26.0,0.045100003,376.0,742.0,none,,577.0,584.0,573.0,579.0,579.0,73700,13.917,30.942,-17.025,22.943,31.671,-8.728,673.786,-94.786,34.483,10.588,33.333,36.479,-6.459,83.004,0.692,0.989,-3.326,22.131,-0.845,47.177,-0.026,36.703,-0.423,98.47,3.228,2.34,-2.016,19.381,-0.907,17.743,-1.198,9.446,-0.941,59.89,0.512,25.0,-0.466,Dead,47,143.47619047619048,Dead,12,129.94444444444446
2331.T,1137.5,57,115,-523,551557857280,20.337923,1.6261895,55.93,699.488,0.5338,0.183,27.4,0.024172915,1.9,24.8,0.0219,769.2,1147.0,none,6,1139.5,1147.0,1129.0,1137.5,1137.5,769600,53.631,47.795,5.835,49.558,21.076,28.483,1002.702,134.798,70.117,93.116,66.667,90.154,10.95,95.273,1.897,86.455,0.77,83.149,1.098,20.718,-0.9,82.873,1.052,82.075,1.171,92.994,1.637,86.201,1.125,85.557,1.213,77.594,1.087,91.907,1.259,87.268,1.052,Golden,105,64.46808510638297,Golden,110,3.67647058823529
2354.T,713.0,17,86,,13058380800,,1.9357274,,368.337,0.275,0.633,22.0,0.03076923,1.62,20.0,0.027999999,584.0,922.0,none,,719.0,723.0,711.0,713.0,713.0,65300,-4.83,-2.584,-2.246,31.592,34.826,-3.234,773.388,-60.388,49.851,33.088,41.667,-7.556,-2.934,45.438,-0.236,30.876,-0.211,41.176,-0.315,49.206,0.001,44.725,-0.165,93.45,1.617,23.893,-0.5,55.597,0.067,45.149,-0.305,25.978,-0.346,55.755,0.049,45.523,-0.115,Dead,55,116.63043478260869,Dead,0,128.5
2389.T,1251.0,70,24,-4360,21842335744,-36.472305,0.7157201,-34.3,1747.89,0.4752,0.872,45.0,0.036231883,4.13,90.0,0.0725,870.0,1304.0,none,,1250.0,1264.0,1237.0,1251.0,1251.0,173000,20.809,-17.376,38.186,66.798,8.498,58.3,928.293,322.707,83.171,96.131,58.333,-18.291,17.672,70.206,0.162,91.544,1.042,97.408,2.218,2.792,-1.942,97.807,2.176,39.37,-0.476,90.846,1.117,95.817,1.972,95.12,1.589,72.366,0.773,48.286,-0.204,86.808,0.897,Golden,45,163.19444444444446,Golden,15,118.39285714285714
2395.T,1600.0,59,115,-7007,66611040256,17.334778,1.8285191,92.3,875.025,0.53419995,-0.041,30.0,0.018552875,1.7,50.0,0.0309,970.0,1996.0,hold,1,1605.0,1615.0,1593.0,1600.0,1600.0,273800,25.083,-33.704,58.787,62.876,14.592,48.283,1102.184,497.816,80.939,96.97,75.0,15.077,19.225,74.222,0.23,97.082,1.988,96.252,1.974,5.227,-1.505,96.746,1.844,65.141,0.137,95.91,1.884,97.931,1.977,96.059,1.68,96.362,2.097,61.316,0.383,88.147,0.874,Golden,75,145.2941176470588,Golden,25,83.05970149253731
2413.T,1495.0,57,-250,-2260,1015152836608,20.865316,2.9042773,71.65,514.758,0.36470002,0.75,21.0,0.014084507,0.55,42.0,0.028199999,1126.5,2527.5,buy,13,1499.5,1516.5,1480.0,1495.0,1495.0,3555300,-88.114,-105.807,17.693,39.308,37.067,2.24,1766.656,-271.656,51.096,44.727,58.333,-21.094,0.54,16.402,-0.437,81.014,0.322,51.21,-0.018,58.165,0.267,45.867,-0.152,67.562,0.048,15.224,-0.517,43.807,-0.179,39.476,-0.316,62.111,0.554,32.62,-0.559,43.788,-0.077,Golden,103,96.16666666666666,Golden,13,134.9591836734694
2428.T,863.0,59,206,-3080,15833201664,17.904564,1.9271739,48.2,447.806,0.4289,0.372,22.15,0.025636574,3.35,52.92,0.061300002,531.0,937.0,none,,862.0,867.0,853.0,863.0,863.0,187300,53.608,51.262,2.346,36.125,28.407,7.718,738.721,124.279,51.485,77.073,41.667,74.564,10.29,85.781,0.189,57.435,0.026,46.422,-0.134,32.674,-0.514,56.685,0.192,48.744,-0.292,83.907,0.283,53.81,0.118,75.447,0.947,28.545,-0.284,83.825,1.241,78.232,0.511,Golden,27,150.38636363636363,Golden,207,-79.45614035087719
2462.T,1373.0,38,177,-2653,26348007424,8.869509,1.6056038,154.8,855.13,0.45470002,0.246,58.0,0.04199855,2.76,58.0,0.042,1207.0,1785.0,none,,1381.0,1389.0,1373.0,1373.0,1373.0,57100,-32.705,-34.82,2.115,33.616,37.521,-3.905,1329.741,43.259,48.172,7.826,66.667,-59.179,-4.358,27.215,-0.556,60.939,0.1,46.696,-0.202,53.413,0.14,47.346,-0.176,62.927,0.404,64.85,0.239,48.485,-0.128,15.584,-1.221,76.026,1.013,31.689,-0.842,41.073,-0.158,Golden,70,125.71428571428572,Dead,5,119.0
2491.T,1163.0,56,24,-4086,25191510016,9.935076,2.067927,117.06,562.399,0.5133,0.659,53.0,0.046613894,2.45,54.0,0.0475,945.0,1695.0,hold,3,1146.0,1168.0,1146.0,1163.0,1163.0,129300,-8.926,-15.03,6.104,32.471,28.235,4.235,945.0,218.0,59.091,95.238,58.333,-56.239,1.61,47.73,-0.077,66.002,0.158,43.982,-0.307,35.771,-0.443,54.218,0.089,56.208,-0.172,84.146,0.68,65.169,0.44,91.685,1.442,58.408,0.501,33.599,-0.761,57.565,0.227,Golden,75,108.75,Golden,0,164.0
